Height,Age,Weight
1.8,35,65.0
1.68,39,65.6
1.82,25,69.2
1.7,60,73.3
1.87,27,73.0
1.55,18,60.2
1.5,89,69.3
1.78,42,69.3
1.67,16,64.2
1.64,52,67.2
1.75,30,63.4
1.6,45,61.6
1.9,22,68.1
1.65,55,70.2
1.85,33,71.8
1.58,70,71.4
1.72,28,64.5
1.83,38,72.1
1.62,48,68.2
1.73,40,67.6
1.88,20,71.2
1.57,65,66.0
1.69,35,65.1
1.81,32,68.6
1.56,75,66.0
1.76,29,68.9
1.66,50,66.7
1.84,24,69.2
1.59,62,69.5
1.71,44,70.0
1.86,26,72.3
1.63,58,68.4
1.77,36,67.9
1.54,80,69.7
1.89,21,65.3
1.61,47,61.4
1.74,34,63.7
1.79,37,67.1
1.68,43,68.6
1.82,28,66.6
